Index  Elem    Ion     Freq(ev)    Wavelength(A)
 2875   Fe      XXI  1.593628E+03  7.780000E+00
 2876   Fe     XXII  1.591582E+03  7.790000E+00
 2877   Fe      XXI  1.591582E+03  7.790000E+00
 2878   Fe     XXII  1.591582E+03  7.790000E+00
 2879   Fe      XXV  1.590969E+03  7.793000E+00
 2880   Mn    XXIII  1.590765E+03  7.794000E+00
 2881   Fe     XXII  1.589542E+03  7.800000E+00
 2882   Fe      XXI  1.589542E+03  7.800000E+00
 2883   Al      XII  1.588116E+03  7.807000E+00
 2884   Zn     XXIX  1.586694E+03  7.814000E+00
 2885   Cr     XXII  1.585476E+03  7.820000E+00
 2886   Fe      XXI  1.583451E+03  7.830000E+00
 2887   Fe      XXI  1.581432E+03  7.840000E+00
 2888   Fe      XXI  1.579417E+03  7.850000E+00
 2889   Mg       XI  1.576806E+03  7.863000E+00
 2890   Zn     XXIX  1.576405E+03  7.865000E+00
 2891   Fe      XXI  1.561514E+03  7.940000E+00
 2892   Fe     XXII  1.559550E+03  7.950000E+00
 2893   Al       II  1.558178E+03  7.957000E+00
 2894   Fe     XXII  1.555637E+03  7.970000E+00
 2895   Fe     XXII  1.553687E+03  7.980000E+00
 2896   Fe      XXI  1.553687E+03  7.980000E+00
 2897   Cu   XXVIII  1.553493E+03  7.981000E+00
 2898   Fe      XXI  1.551743E+03  7.990000E+00
 2899   Fe      XXI  1.549803E+03  8.000000E+00
 2900   Fe      XXI  1.547868E+03  8.010000E+00
 2901   Al      VII  1.547482E+03  8.012000E+00
 2902   Al        X  1.545938E+03  8.020000E+00
 2903   Fe      XXI  1.545938E+03  8.020000E+00
 2904   Al       IX  1.545360E+03  8.023000E+00
 2905   Al     VIII  1.542860E+03  8.036000E+00
 2906   Cu   XXVIII  1.539603E+03  8.053000E+00
 2907   Al       VI  1.538266E+03  8.060000E+00
 2908   Cr     XXII  1.536360E+03  8.070000E+00
 2909   Fe      XXI  1.534458E+03  8.080000E+00
 2910   Fe     XXIV  1.532562E+03  8.090000E+00
 2911   Fe    XXIII  1.530670E+03  8.100000E+00
 2912   Fe      XXI  1.528782E+03  8.110000E+00
 2913   Fe      XXI  1.526900E+03  8.120000E+00
 2914   Al        V  1.526148E+03  8.124000E+00
 2915   Cu   XXVIII  1.526148E+03  8.124000E+00
 2916   Al        V  1.525584E+03  8.127000E+00
 2917   Fe       XX  1.523148E+03  8.140000E+00
 2918   Fe      XXI  1.523148E+03  8.140000E+00
 2919   V     XXIII  1.521466E+03  8.149000E+00
 2920   Fe       XX  1.521279E+03  8.150000E+00
 2921   Cu   XXVIII  1.517555E+03  8.170000E+00
 2922   Fe    XXIII  1.515700E+03  8.180000E+00
 2923   Fe     XXII  1.515700E+03  8.180000E+00
 2924   Al       IV  1.514959E+03  8.184000E+00
 2925   Al       IV  1.514589E+03  8.186000E+00
 2926   Fe      XXI  1.510161E+03  8.210000E+00
 2927   Fe       XX  1.510161E+03  8.210000E+00
 2928   Fe      XXI  1.510161E+03  8.210000E+00
 2929   Fe       XX  1.508324E+03  8.220000E+00
 2930   Fe     XXII  1.506492E+03  8.230000E+00
 2931   Fe       XX  1.504663E+03  8.240000E+00
 2932   Fe      XXI  1.504663E+03  8.240000E+00
 2933   Cu   XXVIII  1.502839E+03  8.250000E+00
 2934   Fe      XXI  1.502839E+03  8.250000E+00
 2935   Fe       XX  1.502839E+03  8.250000E+00
 2936   Fe     XXII  1.501020E+03  8.260000E+00
 2937   Al      III  1.499930E+03  8.266000E+00
 2938   Al      III  1.499749E+03  8.267000E+00
 2939   Fe       XX  1.499205E+03  8.270000E+00
 2940   Ni   XXVIII  1.497033E+03  8.282000E+00
 2941   Fe       XX  1.491988E+03  8.310000E+00
 2942   Fe     XXII  1.490195E+03  8.320000E+00
 2943   Fe       XX  1.490195E+03  8.320000E+00
 2944   Fe     XXII  1.490195E+03  8.320000E+00
 2945   Cu   XXVIII  1.489121E+03  8.326000E+00
 2946   Fe     XXII  1.488406E+03  8.330000E+00
 2947   Al       II  1.486978E+03  8.338000E+00
 2948   Al       II  1.486622E+03  8.340000E+00
 2949   Cu   XXVIII  1.484841E+03  8.350000E+00
 2950   Cr     XXIV  1.480055E+03  8.377000E+00
 2951   Cu   XXVIII  1.479702E+03  8.379000E+00
 2952   Fe     XXII  1.479526E+03  8.380000E+00
 2953   Fe      XXI  1.477762E+03  8.390000E+00
 2954   Fe     XXII  1.474248E+03  8.410000E+00
 2955   Fe    XXIII  1.474248E+03  8.410000E+00
 2956   Fe     XXII  1.472497E+03  8.420000E+00
 2957   Fe      XXI  1.470750E+03  8.430000E+00
 2958   Cu   XXVIII  1.469530E+03  8.437000E+00
 2959   Fe      XXI  1.469008E+03  8.440000E+00
 2960   Fe       XX  1.469008E+03  8.440000E+00
 2961   Fe       XX  1.465535E+03  8.460000E+00
 2962   Fe       XX  1.462078E+03  8.480000E+00
 2963   Fe      XXI  1.462078E+03  8.480000E+00
 2964   Fe     XXII  1.460356E+03  8.490000E+00
 2965   Fe      XXI  1.460356E+03  8.490000E+00
 2966   Fe       XX  1.458638E+03  8.500000E+00
 2967   Cr     XXII  1.455214E+03  8.520000E+00
 2968   Fe     XXII  1.450108E+03  8.550000E+00
 2969   V       XXI  1.445712E+03  8.576000E+00
 2970   Fe      XXI  1.445038E+03  8.580000E+00
 2971   Fe      XXI  1.443356E+03  8.590000E+00
 2972   Fe      XXI  1.441677E+03  8.600000E+00
 2973   Fe       XX  1.440003E+03  8.610000E+00
 2974   Fe     XXII  1.440003E+03  8.610000E+00
 2975   Fe     XXII  1.438332E+03  8.620000E+00
 2976   Fe      XXI  1.435003E+03  8.640000E+00
 2977   Fe       XX  1.435003E+03  8.640000E+00
 2978   Fe      XXI  1.435003E+03  8.640000E+00
 2979   Fe       XX  1.433344E+03  8.650000E+00
 2980   Ni    XXVII  1.431358E+03  8.662000E+00
 2981   Mn    XXIII  1.427075E+03  8.688000E+00
 2982   Fe      XXI  1.426746E+03  8.690000E+00
 2983   Fe      XXI  1.425106E+03  8.700000E+00
 2984   Fe       XX  1.425106E+03  8.700000E+00
 2985   Fe      XXI  1.423470E+03  8.710000E+00
 2986   Fe      XIX  1.418584E+03  8.740000E+00
 2987   Fe       XX  1.418584E+03  8.740000E+00
 2988   Ni    XXVII  1.417611E+03  8.746000E+00
 2989   Fe       XX  1.413731E+03  8.770000E+00
 2990   Fe     XXII  1.412121E+03  8.780000E+00
 2991   Ni    XXVII  1.409553E+03  8.796000E+00
 2992   Fe      XIX  1.408912E+03  8.800000E+00
 2993   Fe      XIX  1.407313E+03  8.810000E+00
 2994   Fe      XXI  1.407313E+03  8.810000E+00
 2995   Fe      XIX  1.405717E+03  8.820000E+00
 2996   Fe     XXII  1.404125E+03  8.830000E+00
 2997   Fe     XXII  1.402537E+03  8.840000E+00
 2998   V       XXI  1.402219E+03  8.842000E+00
 2999   Fe      XIX  1.400952E+03  8.850000E+00
 3000   Ni    XXVII  1.400477E+03  8.853000E+00
 3001   Fe      XXI  1.399371E+03  8.860000E+00
 3002   Fe      XIX  1.399371E+03  8.860000E+00
 3003   Fe     XXII  1.397793E+03  8.870000E+00
 3004   Fe       XX  1.393081E+03  8.900000E+00
 3005   Fe      XIX  1.391518E+03  8.910000E+00
 3006   Ti     XXII  1.391362E+03  8.911000E+00
 3007   Co    XXVII  1.390114E+03  8.919000E+00
 3008   Fe      XIX  1.389958E+03  8.920000E+00
 3009   Fe       XX  1.388401E+03  8.930000E+00
 3010   Fe      XIX  1.388401E+03  8.930000E+00
 3011   Fe      XIX  1.386848E+03  8.940000E+00
 3012   Ni    XXVII  1.385608E+03  8.948000E+00
 3013   Fe      XXI  1.385299E+03  8.950000E+00
 3014   Fe      XIX  1.383753E+03  8.960000E+00
 3015   Fe      XXI  1.383753E+03  8.960000E+00
 3016   Fe      XIX  1.383753E+03  8.960000E+00
 3017   Fe      XXI  1.383753E+03  8.960000E+00
 3018   Ni    XXVII  1.381594E+03  8.974000E+00
 3019   Fe      XIX  1.380671E+03  8.980000E+00
 3020   Fe      XXI  1.379135E+03  8.990000E+00
 3021   Fe      XIX  1.377603E+03  9.000000E+00
 3022   Ni    XXVII  1.376532E+03  9.007000E+00
 3023   Fe      XXI  1.376074E+03  9.010000E+00
 3024   Fe      XIX  1.376074E+03  9.010000E+00
 3025   Fe      XIX  1.374548E+03  9.020000E+00
 3026   Fe      XXI  1.374548E+03  9.020000E+00
 3027   Fe      XIX  1.374548E+03  9.020000E+00
 3028   Fe      XIX  1.373026E+03  9.030000E+00
 3029   Fe      XIX  1.369992E+03  9.050000E+00
 3030   Fe      XIX  1.366971E+03  9.070000E+00
 3031   Ni     XXVI  1.366368E+03  9.074000E+00
 3032   Fe     XXII  1.363963E+03  9.090000E+00
 3033   Fe      XIX  1.362464E+03  9.100000E+00
 3034   Fe      XXI  1.360969E+03  9.110000E+00
 3035   Fe      XXI  1.359476E+03  9.120000E+00
 3036   V     XXIII  1.358434E+03  9.127000E+00
 3037   Fe       XX  1.357987E+03  9.130000E+00
 3038   Fe      XIX  1.356502E+03  9.140000E+00
 3039   Ni      XIX  1.356353E+03  9.141000E+00
 3040   Ni      XIX  1.355167E+03  9.149000E+00
 3041   Fe      XIX  1.350591E+03  9.180000E+00
 3042   Fe      XIX  1.349121E+03  9.190000E+00
 3043   Fe      XIX  1.347655E+03  9.200000E+00
 3044   Fe     XXII  1.347655E+03  9.200000E+00
 3045   Fe      XIX  1.347655E+03  9.200000E+00
 3046   Fe       XX  1.346192E+03  9.210000E+00
 3047   Fe      XIX  1.344731E+03  9.220000E+00
 3048   Mg       XI  1.343566E+03  9.228000E+00
 3049   Fe      XIX  1.343275E+03  9.230000E+00
 3050   Fe      XXI  1.341821E+03  9.240000E+00
 3051   Fe      XIX  1.341821E+03  9.240000E+00
 3052   Ti       XX  1.341531E+03  9.242000E+00
 3053   Co     XXVI  1.338778E+03  9.261000E+00
 3054   Fe       XX  1.334599E+03  9.290000E+00
 3055   Zn      XXI  1.331160E+03  9.314000E+00
 3056   Fe      XXI  1.330303E+03  9.320000E+00
 3057   Fe      XIX  1.330303E+03  9.320000E+00
 3058   Fe      XXI  1.328877E+03  9.330000E+00
 3059   Fe      XIX  1.328877E+03  9.330000E+00
 3060   Ni      XXV  1.327454E+03  9.340000E+00
 3061   Co     XXVI  1.326886E+03  9.344000E+00
 3062   Fe    XVIII  1.326035E+03  9.350000E+00
 3063   V       XXI  1.325326E+03  9.355000E+00
 3064   Fe      XXI  1.324618E+03  9.360000E+00
 3065   Fe      XIX  1.323204E+03  9.370000E+00
 3066   Fe    XVIII  1.320386E+03  9.390000E+00
 3067   Zn      XIX  1.318000E+03  9.407000E+00
 3068   Fe    XVIII  1.317580E+03  9.410000E+00
 3069   Fe    XVIII  1.316181E+03  9.420000E+00
 3070   Na        X  1.314367E+03  9.433000E+00
 3071   Ti       XX  1.314228E+03  9.434000E+00
 3072   Co     XXVI  1.313392E+03  9.440000E+00
 3073   Fe       XX  1.313392E+03  9.440000E+00
 3074   Na        X  1.312141E+03  9.449000E+00
 3075   Fe      XIX  1.312003E+03  9.450000E+00
 3076   Fe    XVIII  1.310616E+03  9.460000E+00
 3077   Fe    XVIII  1.307851E+03  9.480000E+00
 3078   Fe      XIX  1.306473E+03  9.490000E+00
 3079   Fe       XX  1.306473E+03  9.490000E+00
 3080   Co     XXVI  1.305922E+03  9.494000E+00
 3081   Cr     XXII  1.305510E+03  9.497000E+00
 3082   Fe    XVIII  1.305097E+03  9.500000E+00
 3083   Mg       IX  1.304136E+03  9.507000E+00
 3084   Mg     VIII  1.302903E+03  9.516000E+00
 3085   Mg       VI  1.302629E+03  9.518000E+00
 3086   Fe    XVIII  1.300989E+03  9.530000E+00
 3087   Mg      VII  1.299625E+03  9.540000E+00
 3088   Fe    XVIII  1.299625E+03  9.540000E+00
 3089   Fe       XX  1.299625E+03  9.540000E+00
 3090   Fe    XVIII  1.299625E+03  9.540000E+00
 3091   Mg      VII  1.299625E+03  9.540000E+00
 3092   Fe    XVIII  1.298264E+03  9.550000E+00
 3093   Fe      XXI  1.298264E+03  9.550000E+00
 3094   Fe      XXI  1.296906E+03  9.560000E+00
 3095   Fe    XVIII  1.296906E+03  9.560000E+00
 3096   Fe      XIX  1.296906E+03  9.560000E+00
 3097   Co     XXVI  1.296500E+03  9.563000E+00
 3098   Fe    XVIII  1.294199E+03  9.580000E+00
 3099   Mg        V  1.292715E+03  9.591000E+00
 3100   Fe    XVIII  1.291502E+03  9.600000E+00
 3101   Fe     XXVI  1.288416E+03  9.623000E+00
 3102   Fe      XIX  1.286144E+03  9.640000E+00
 3103   Zn       XX  1.285877E+03  9.642000E+00
 3104   Co     XXVI  1.285610E+03  9.644000E+00
 3105   Fe      XIX  1.284811E+03  9.650000E+00
 3106   Fe    XVIII  1.284811E+03  9.650000E+00
 3107   Fe    XVIII  1.283481E+03  9.660000E+00
 3108   Fe    XVIII  1.282154E+03  9.670000E+00
 3109   Fe      XIX  1.280829E+03  9.680000E+00
 3110   Fe    XVIII  1.280829E+03  9.680000E+00
 3111   Mg       IV  1.280036E+03  9.686000E+00
 3112   Mg       IV  1.279639E+03  9.689000E+00
 3113   Fe    XVIII  1.279507E+03  9.690000E+00
 3114   Co     XXVI  1.279243E+03  9.692000E+00
 3115   Fe      XIX  1.278188E+03  9.700000E+00
 3116   Fe      XXI  1.276872E+03  9.710000E+00
 3117   Co     XXVI  1.276872E+03  9.710000E+00
 3118   Fe      XIX  1.275558E+03  9.720000E+00
 3119   Fe    XVIII  1.274247E+03  9.730000E+00
 3120   Zn    XVIII  1.274116E+03  9.731000E+00
 3121   Ti       XX  1.273331E+03  9.737000E+00
 3122   Fe      XIX  1.270330E+03  9.760000E+00
 3123   Fe      XIX  1.269030E+03  9.770000E+00
 3124   Mg      III  1.267862E+03  9.779000E+00
 3125   Fe      XIX  1.267733E+03  9.780000E+00
 3126   Mg      III  1.267733E+03  9.780000E+00
 3127   Co     XXVI  1.266955E+03  9.786000E+00
 3128   Sc      XXI  1.266955E+03  9.786000E+00
 3129   Fe    XVIII  1.265145E+03  9.800000E+00
 3130   Fe    XVIII  1.263856E+03  9.810000E+00
 3131   Co      XXV  1.263856E+03  9.810000E+00
 3132   Fe    XVIII  1.263856E+03  9.810000E+00
 3133   Fe       XX  1.258723E+03  9.850000E+00
 3134   Fe    XVIII  1.258723E+03  9.850000E+00
 3135   Fe      XIX  1.257447E+03  9.860000E+00
 3136   Fe    XVIII  1.257447E+03  9.860000E+00
 3137   Mg       II  1.254013E+03  9.887000E+00
 3138   Mg       II  1.253759E+03  9.889000E+00
 3139   Fe      XIX  1.253632E+03  9.890000E+00
 3140   Fe      XIX  1.252366E+03  9.900000E+00
 3141   Fe      XIX  1.251102E+03  9.910000E+00
 3142   Zn       XV  1.246825E+03  9.944000E+00
 3143   Fe    XVIII  1.246073E+03  9.950000E+00
 3144   Ti     XXII  1.242203E+03  9.981000E+00
 3145   Zn      XIX  1.241084E+03  9.990000E+00
 3146   Zn      XVI  1.239842E+03  1.000000E+01
 3147   Fe      XIX  1.239842E+03  1.000000E+01
 3148   Zn      XVI  1.239842E+03  1.000000E+01
 3149   Fe      XIX  1.239842E+03  1.000000E+01
 3150   Zn      XVI  1.239842E+03  1.000000E+01
 3151   Fe    XVIII  1.238604E+03  1.001000E+01
 3152   Fe      XXV  1.237368E+03  1.002000E+01
 3153   Zn    XVIII  1.237368E+03  1.002000E+01
 3154   Co    XVIII  1.236134E+03  1.003000E+01
 3155   Zn       XV  1.233674E+03  1.005000E+01
 3156   Cu       XX  1.231224E+03  1.007000E+01
 3157   Zn     XVII  1.231224E+03  1.007000E+01
 3158   Fe    XVIII  1.230002E+03  1.008000E+01
 3159   Fe      XXV  1.226353E+03  1.011000E+01
 3160   Ni      XIX  1.226353E+03  1.011000E+01
 3161   Fe      XIX  1.225141E+03  1.012000E+01
 3162   Co     XXIV  1.225141E+03  1.012000E+01
 3163   Fe     XVII  1.223931E+03  1.013000E+01
 3164   Zn      XIV  1.223931E+03  1.013000E+01
 3165   Fe      XIX  1.222724E+03  1.014000E+01
 3166   Zn       XV  1.222724E+03  1.014000E+01
 3167   Fe    XVIII  1.222724E+03  1.014000E+01
 3168   Fe      XIX  1.221520E+03  1.015000E+01
 3169   Fe     XVII  1.221520E+03  1.015000E+01
 3170   Zn      XIV  1.220317E+03  1.016000E+01
 3171   Ni      XIX  1.220317E+03  1.016000E+01
 3172   Zn      XIV  1.220317E+03  1.016000E+01
 3173   Cu    XVIII  1.217920E+03  1.018000E+01
 3174   Zn     XIII  1.214341E+03  1.021000E+01
 3175   Fe     XVII  1.214341E+03  1.021000E+01
 3176   Fe      XXV  1.213153E+03  1.022000E+01
 3177   Fe     XVII  1.211967E+03  1.023000E+01
 3178   Sc      XIX  1.210784E+03  1.024000E+01
 3179   Fe    XVIII  1.210784E+03  1.024000E+01
 3180   Zn     XIII  1.209602E+03  1.025000E+01
 3181   Fe    XVIII  1.209602E+03  1.025000E+01
 3182   Zn     XIII  1.209602E+03  1.025000E+01
 3183   Fe    XVIII  1.209602E+03  1.025000E+01
 3184   Fe       XX  1.208423E+03  1.026000E+01
 3185   Fe    XVIII  1.208423E+03  1.026000E+01
 3186   Fe      XXV  1.206072E+03  1.028000E+01
 3187   Ti       XX  1.206072E+03  1.028000E+01
 3188   Zn      XIV  1.203731E+03  1.030000E+01
 3189   Zn      XII  1.202563E+03  1.031000E+01
 3190   Fe     XVII  1.201398E+03  1.032000E+01
 3191   Zn       XI  1.199074E+03  1.034000E+01
 3192   Fe      XXV  1.199074E+03  1.034000E+01
 3193   Zn      XII  1.199074E+03  1.034000E+01
 3194   Fe     XVII  1.197915E+03  1.035000E+01
 3195   Fe    XVIII  1.196759E+03  1.036000E+01
 3196   Zn       XI  1.193304E+03  1.039000E+01
 3197   Fe     XXII  1.192156E+03  1.040000E+01
 3198   Fe    XVIII  1.192156E+03  1.040000E+01
 3199   V       XXI  1.191011E+03  1.041000E+01
 3200   Fe    XVIII  1.191011E+03  1.041000E+01
 3201   Fe      XXV  1.189868E+03  1.042000E+01
 3202   Fe    XVIII  1.189868E+03  1.042000E+01
 3203   Mn      XXV  1.189868E+03  1.042000E+01
 3204   Zn       XI  1.188727E+03  1.043000E+01
 3205   Cu      XIX  1.187589E+03  1.044000E+01
 3206   Sc      XIX  1.187589E+03  1.044000E+01
 3207   Cu      XIX  1.187589E+03  1.044000E+01
 3208   Fe    XXIII  1.186452E+03  1.045000E+01
 3209   Zn        X  1.183056E+03  1.048000E+01
 3210   Fe      XXV  1.181928E+03  1.049000E+01
 3211   Fe     XVII  1.181928E+03  1.049000E+01
 3212   Zn      XIV  1.180802E+03  1.050000E+01
 3213   Fe      XXV  1.180802E+03  1.050000E+01
 3214   Zn      XIV  1.180802E+03  1.050000E+01
 3215   Zn        X  1.178557E+03  1.052000E+01
 3216   Fe    XVIII  1.177438E+03  1.053000E+01
 3217   Fe    XVIII  1.176321E+03  1.054000E+01
 3218   Cu     XVII  1.176321E+03  1.054000E+01
 3219   Fe     XVII  1.176321E+03  1.054000E+01
 3220   Cu     XVII  1.176321E+03  1.054000E+01
 3221   Fe    XVIII  1.175206E+03  1.055000E+01
 3222   Zn       IX  1.172982E+03  1.057000E+01
 3223   Fe     XXII  1.172982E+03  1.057000E+01
 3224   Fe    XVIII  1.171874E+03  1.058000E+01
 3225   Fe     XXII  1.170767E+03  1.059000E+01
 3226   Fe      XIX  1.170767E+03  1.059000E+01
 3227   Fe    XVIII  1.170767E+03  1.059000E+01
 3228   Fe      XXV  1.170767E+03  1.059000E+01
 3229   Fe      XIX  1.169663E+03  1.060000E+01
 3230   Zn       IX  1.168560E+03  1.061000E+01
 3231   Fe     XXII  1.165265E+03  1.064000E+01
 3232   Fe      XXI  1.165265E+03  1.064000E+01
 3233   Zn     XIII  1.164171E+03  1.065000E+01
 3234   Zn     VIII  1.163079E+03  1.066000E+01
 3235   Fe      XXI  1.160901E+03  1.068000E+01
 3236   Zn      XII  1.160901E+03  1.068000E+01
 3237   Fe    XVIII  1.160901E+03  1.068000E+01
 3238   Zn      XII  1.160901E+03  1.068000E+01
 3239   Fe     XXII  1.160901E+03  1.068000E+01
 3240   Zn        X  1.158731E+03  1.070000E+01
 3241   Zn     VIII  1.158731E+03  1.070000E+01
 3242   Zn       XI  1.158731E+03  1.070000E+01
 3243   Zn     VIII  1.158731E+03  1.070000E+01
 3244   Zn       XI  1.158731E+03  1.070000E+01
 3245   Zn     VIII  1.158731E+03  1.070000E+01
 3246   Zn       XI  1.158731E+03  1.070000E+01
 3247   Zn        X  1.158731E+03  1.070000E+01
 3248   Zn       XI  1.158731E+03  1.070000E+01
 3249   Fe      XIX  1.155492E+03  1.073000E+01
 3250   Zn        X  1.153342E+03  1.075000E+01
 3251   Fe     XXII  1.153342E+03  1.075000E+01
 3252   Fe     XVII  1.153342E+03  1.075000E+01
 3253   Zn        X  1.153342E+03  1.075000E+01
 3254   Fe      XXI  1.153342E+03  1.075000E+01
 3255   Zn        X  1.153342E+03  1.075000E+01
 3256   Fe      XIX  1.153342E+03  1.075000E+01
 3257   Zn        X  1.153342E+03  1.075000E+01
 3258   Zn      VII  1.152270E+03  1.076000E+01
 3259   Ne       IX  1.152270E+03  1.076000E+01
 3260   Zn      VII  1.152270E+03  1.076000E+01
 3261   Fe    XXIII  1.152270E+03  1.076000E+01
 3262   Zn      VII  1.152270E+03  1.076000E+01
 3263   Fe      XXI  1.150132E+03  1.078000E+01
 3264   Sc      XIX  1.149066E+03  1.079000E+01
 3265   Zn      VII  1.148002E+03  1.080000E+01
 3266   Fe      XXI  1.146940E+03  1.081000E+01
 3267   Fe     XXII  1.146940E+03  1.081000E+01
 3268   Fe      XIX  1.146940E+03  1.081000E+01
 3269   Cu    XVIII  1.144822E+03  1.083000E+01
 3270   Cu      XIV  1.143766E+03  1.084000E+01
 3271   Fe     XVII  1.143766E+03  1.084000E+01
 3272   Zn     VIII  1.142712E+03  1.085000E+01
 3273   Zn       IX  1.142712E+03  1.085000E+01
 3274   Zn     VIII  1.142712E+03  1.085000E+01
 3275   Zn       IX  1.142712E+03  1.085000E+01
 3276   Zn     VIII  1.142712E+03  1.085000E+01
 3277   Zn       IX  1.142712E+03  1.085000E+01
 3278   Cu       XV  1.142712E+03  1.085000E+01
 3279   Zn     VIII  1.142712E+03  1.085000E+01
 3280   Zn       IX  1.142712E+03  1.085000E+01
 3281   Cu       XV  1.142712E+03  1.085000E+01
 3282   Zn     VIII  1.142712E+03  1.085000E+01
 3283   Zn       IX  1.142712E+03  1.085000E+01
 3284   Zn     VIII  1.142712E+03  1.085000E+01
 3285   Zn       IX  1.142712E+03  1.085000E+01
 3286   Zn     VIII  1.142712E+03  1.085000E+01
 3287   Cu       XV  1.142712E+03  1.085000E+01
 3288   Zn     VIII  1.142712E+03  1.085000E+01
 3289   Zn       VI  1.141660E+03  1.086000E+01
 3290   Mn     XXIV  1.140609E+03  1.087000E+01
 3291   Zn     XIII  1.140609E+03  1.087000E+01
 3292   Cu     XVII  1.139561E+03  1.088000E+01
 3293   Zn     XXII  1.138515E+03  1.089000E+01
 3294   Zn       VI  1.137470E+03  1.090000E+01
 3295   Zn      XII  1.137470E+03  1.090000E+01
 3296   Zn       VI  1.137470E+03  1.090000E+01
 3297   Zn      XII  1.137470E+03  1.090000E+01
 3298   Fe      XIX  1.137470E+03  1.090000E+01
 3299   Zn       VI  1.137470E+03  1.090000E+01
 3300   Cu      XIV  1.136428E+03  1.091000E+01
 3301   Fe       XX  1.136428E+03  1.091000E+01
 3302   Cu      XIV  1.136428E+03  1.091000E+01
 3303   Cu      XVI  1.135387E+03  1.092000E+01
 3304   Zn       XI  1.135387E+03  1.092000E+01
 3305   Cu      XVI  1.135387E+03  1.092000E+01
 3306   Zn       XI  1.135387E+03  1.092000E+01
 3307   Cu      XVI  1.135387E+03  1.092000E+01
 3308   Ni      XIX  1.134348E+03  1.093000E+01
 3309   V        XX  1.133311E+03  1.094000E+01
 3310   Zn        V  1.131243E+03  1.096000E+01
 3311   Sc      XXI  1.131243E+03  1.096000E+01
 3312   Zn        V  1.131243E+03  1.096000E+01
 3313   Zn        X  1.130212E+03  1.097000E+01
 3314   Mn     XXIV  1.130212E+03  1.097000E+01
 3315   Zn        X  1.130212E+03  1.097000E+01
 3316   Zn      VII  1.129183E+03  1.098000E+01
 3317   Co    XVIII  1.129183E+03  1.098000E+01
 3318   Zn      VII  1.129183E+03  1.098000E+01
 3319   Fe      XIX  1.129183E+03  1.098000E+01
 3320   Fe      XXI  1.129183E+03  1.098000E+01
 3321   Zn      VII  1.129183E+03  1.098000E+01
 3322   Cu     XIII  1.127129E+03  1.100000E+01
 3323   Zn        V  1.127129E+03  1.100000E+01
 3324   Fe     XXIV  1.127129E+03  1.100000E+01
 3325   Zn        V  1.127129E+03  1.100000E+01
 3326   Cu     XIII  1.127129E+03  1.100000E+01
 3327   Ne       IX  1.126106E+03  1.101000E+01
 3328   Fe     XXII  1.126106E+03  1.101000E+01
 3329   Cu     XIII  1.124064E+03  1.103000E+01
 3330   Cu      XIV  1.124064E+03  1.103000E+01
 3331   Fe      XIX  1.124064E+03  1.103000E+01
 3332   Cu     XIII  1.124064E+03  1.103000E+01
 3333   Zn       IV  1.122029E+03  1.105000E+01
 3334   Ni     XVII  1.121015E+03  1.106000E+01
 3335   Fe     XXII  1.121015E+03  1.106000E+01
 3336   Zn       IX  1.118991E+03  1.108000E+01
 3337   Zn     VIII  1.118991E+03  1.108000E+01
 3338   Zn       IX  1.118991E+03  1.108000E+01
 3339   Zn     VIII  1.118991E+03  1.108000E+01
 3340   Zn       IX  1.118991E+03  1.108000E+01
 3341   Zn     VIII  1.118991E+03  1.108000E+01
 3342   Zn       IX  1.118991E+03  1.108000E+01
 3343   Zn     VIII  1.118991E+03  1.108000E+01
 3344   Zn       IX  1.118991E+03  1.108000E+01
 3345   Zn     VIII  1.118991E+03  1.108000E+01
 3346   Zn       IX  1.118991E+03  1.108000E+01
 3347   Zn     VIII  1.118991E+03  1.108000E+01
 3348   Zn       IX  1.118991E+03  1.108000E+01
 3349   Zn     VIII  1.118991E+03  1.108000E+01
 3350   Zn       IX  1.118991E+03  1.108000E+01
 3351   Zn     VIII  1.118991E+03  1.108000E+01
 3352   Zn       IV  1.117982E+03  1.109000E+01
 3353   Mn     XXIV  1.116975E+03  1.110000E+01
 3354   Cu      XII  1.116975E+03  1.110000E+01
 3355   Fe      XIX  1.116975E+03  1.110000E+01
 3356   Cu      XII  1.116975E+03  1.110000E+01
 3357   Zn       VI  1.115970E+03  1.111000E+01
 3358   Fe      XXI  1.115970E+03  1.111000E+01
 3359   Co    XVIII  1.115970E+03  1.111000E+01
 3360   Zn     XXII  1.114966E+03  1.112000E+01
 3361   Cu      XII  1.113964E+03  1.113000E+01
 3362   Zn      III  1.112964E+03  1.114000E+01
 3363   Fe      XIX  1.111966E+03  1.115000E+01
 3364   Fe     XVII  1.111966E+03  1.115000E+01
 3365   Co    XVIII  1.111966E+03  1.115000E+01
 3366   Mn     XXIV  1.110970E+03  1.116000E+01
 3367   Fe    XXIII  1.110970E+03  1.116000E+01
 3368   Zn      III  1.108982E+03  1.118000E+01
 3369   Zn       II  1.107002E+03  1.120000E+01
 3370   Cu       XI  1.107002E+03  1.120000E+01
 3371   Zn      VII  1.106015E+03  1.121000E+01
 3372   Fe    XVIII  1.106015E+03  1.121000E+01
 3373   Ca    XVIII  1.106015E+03  1.121000E+01
 3374   Fe     XXII  1.105029E+03  1.122000E+01
 3375   Mn     XXIV  1.105029E+03  1.122000E+01
 3376   Cu       XI  1.104045E+03  1.123000E+01
